Detecting language using up to the first 30 seconds. Use `--language` to specify the language
Detected language: English
[00:00.000 --> 00:28.560]  Greetings and salutations.
[26:03.640 --> 26:09.360]  On this camera, there's a switch that allows you to manually adjust the f-stops and open
[26:09.360 --> 26:13.320]  or close the aperture using the dial or ring.
[26:13.320 --> 26:18.080]  You can also turn on the Auto Iris button and it will adjust your f-stop whenever a
[26:18.080 --> 26:24.800]  change occurs in the image that necessitates more or less light to be exposed to the sensor.
[26:24.800 --> 26:29.480]  This might be a little distracting, however, so I recommend getting your lighting figured
[26:29.480 --> 26:32.840]  out and manually setting your exposure to a fixed amount.
[26:32.840 --> 26:38.520]  If you're working under low lighting conditions and you have your aperture all the way open,
[26:38.520 --> 26:43.040]  but you're not satisfied with how dark the image might be, you might have an option to
[26:43.040 --> 26:48.920]  boost or lower the image gain, which increases and decreases the magnitude of amplification
[26:48.920 --> 26:51.120]  and light sensitivity.
[26:51.120 --> 26:55.840]  Your camera will probably have automatic or manual functions, or both, for controlling
[26:55.840 --> 27:00.920]  the gain, and on this camera, there's factory settings which can be changed by positioning
[27:00.920 --> 27:09.280]  a switch to low, middle, or high gain, which is measured in units of dB or decibels.
[27:09.280 --> 27:12.880]  Low is equal to 0 dB or no gain.
[27:12.880 --> 27:18.960]  Middle gain is typically equal to 6 or 9 decibels, which has the effect on your image of adding
[27:19.960 --> 27:25.360]  the amount of light, and finally, high gain, which adds anywhere between 12 to 18 decibels
[27:25.360 --> 27:29.600]  or up to 3 times the amount of light to your image.
[27:29.600 --> 27:30.760]  Now this carries a caveat.
[27:30.760 --> 27:35.980]  The higher the gain, the more this is going to degrade your image quality by adding noise
[27:35.980 --> 27:41.240]  and grain to the frame, so keep in mind that this is sort of a last resort if you want
[27:41.240 --> 27:45.200]  to keep things looking pretty but visible.
[27:45.200 --> 27:50.240]  Very quick, we'll cover a couple of common camera cautionaries and what to do to fix
[27:50.240 --> 27:55.680]  an issue.
[27:55.680 --> 27:58.840]  Camera troubleshooting.
[27:58.840 --> 28:03.220]  Let's launch into some common problems you might encounter and how best to resolve them.
[28:03.220 --> 28:07.120]  Number one, let me get this out of the way right off the bat.
[28:07.120 --> 28:10.760]  The best thing to do is familiarize yourself with the equipment you're using.
[28:10.760 --> 28:15.120]  Do some research, test out some different setups if something isn't working right,
[28:15.120 --> 28:18.760]  and make plenty of time for yourself before the start of your program to fix any potential
[28:18.760 --> 28:19.760]  issues.
[28:19.760 --> 28:24.000]  We recommend at least one and a half to two hours if possible.
[28:24.000 --> 28:26.480]  As we covered, make sure to always be recording.
[28:26.480 --> 28:29.720]  Hopefully your camera is equipped with a memory card slot.
[28:29.720 --> 28:35.960]  We use 32 or 64 gigabyte SD cards to record all of our programs while simultaneously streaming
[28:35.960 --> 28:37.520]  audio and video.
[28:37.520 --> 28:41.800]  This serves as a backup in case the unthinkable happens and your capture device freezes or
[28:41.800 --> 28:46.440]  your internet goes down or lightning strikes or something disrupts your ability to broadcast
[28:46.440 --> 28:52.000]  to our media server, you'll always have some sort of a backup recording to use for archiving
[28:52.000 --> 28:53.000]  purposes.
[28:53.000 --> 28:57.320]  I feel like it goes without saying, but in our highly developed technological society,
[28:57.320 --> 29:02.800]  please never forget that technology is our friend, but we are also at its mercy.
[29:02.800 --> 29:06.640]  Don't compete with technology, try to complete it.
[29:06.640 --> 29:10.640]  So you'll want to format your SD card, we covered this a little bit ago.
[29:10.640 --> 29:14.200]  Make sure to start recording and start streaming as soon as possible.
[29:14.200 --> 29:18.840]  Don't forget to press the record or broadcast buttons.
[29:18.840 --> 29:23.520]  Try not to run the camera off battery power, instead plug the power cable or adapter into
[29:23.520 --> 29:28.880]  a surge protected power strip, preferably one that has grounded outlets.
[29:28.880 --> 29:33.800]  If you do lose power, again, don't panic, capture devices, battery power will allow
[29:33.800 --> 29:38.240]  you to save your progress and pause until power can be restored.
[29:38.240 --> 29:42.120]  Obviously you've been recording and broadcasting in Wirecast and you can stop the recording
[29:42.120 --> 29:47.760]  that is being written to your hard drive and resume once you get power back to your camera.
[29:47.760 --> 29:52.040]  In case the files being written to your SD card were corrupted, you'll have the hard
[29:52.040 --> 29:55.440]  drive archive copy as backup.
[29:55.440 --> 30:00.840]  Make sure to turn off your camera and unplug it from the outlet before removing the SD
[30:00.840 --> 30:01.840]  card.
[30:01.840 --> 30:04.480]  Set it aside and replace it with a backup card.
[30:04.480 --> 30:08.560]  You should always have at least one to two pre-formatted blank cards set aside, ready
[30:08.560 --> 30:11.160]  to use in the event of an emergency.
[30:11.160 --> 30:16.920]  SD cards are relatively inexpensive and a decent investment since you can use them.
[30:16.920 --> 30:21.160]  Copy the contents to a separate storage device like an external hard drive or upload them
[30:21.160 --> 30:23.600]  to a cloud storage site.
[30:23.600 --> 30:27.080]  Then you can reformat the cards and reuse them over and over.
[30:27.080 --> 30:32.820]  For the SD card that you removed, we'll check it out later to see if the files can be repaired
[30:32.980 --> 30:38.300]  but depending on how often your files automatically increment, some content on the card may have
[30:38.300 --> 30:39.920]  been lost.
[30:39.920 --> 30:44.540]  This is why it's crucial to have a few redundancies in place so that the content is not completely
[30:44.540 --> 30:45.540]  lost.
[30:45.540 --> 30:49.060]  Most of the time everything will run fine and you won't ever need to resort to using
[30:49.060 --> 30:54.060]  your backup recordings but in the circumstance that you do, you'll be glad that you put these
[30:54.060 --> 30:56.740]  preventative measures in place.
[30:56.780 --> 31:01.780]  From here we'll proceed now to the next chapter which is how to work with Wirecast.
[31:12.140 --> 31:16.460]  So with Wirecast you have a couple of ways of getting the application up and running.
[31:16.460 --> 31:21.980]  I'm going to show you the way you're probably used to doing and then show another way to
[31:21.980 --> 31:27.940]  get your webcast going without always having to launch the application from the event manager.
[31:27.940 --> 31:32.540]  So as Sam just demonstrated, you can log into the event manager and then search for your
[31:32.540 --> 31:37.580]  upcoming webcast if it's not showing up on the dashboard.
[31:37.580 --> 31:42.580]  Once you find it, click on the title and this will bring you to the encoding tab of the
[31:42.580 --> 31:44.180]  selected program.
[31:44.180 --> 31:49.220]  If all the viewer URLs are empty, simply click on the encoder selection drop down button
[31:49.340 --> 31:54.660]  and select Wirecast Typical and those URLs will populate.
[31:54.660 --> 31:58.860]  Verify that the file name is correct and then click the save button.
[31:58.860 --> 32:03.660]  Then change the encoder selection back to Wirecast High Quality and click save.
[32:03.660 --> 32:06.020]  Then launch Wirecast.
[32:06.020 --> 32:10.620]  This will allow you to save and open a Wirecast profile that is pre-configured with the correct
[32:10.620 --> 32:13.100]  file name and output settings.
[32:13.100 --> 32:17.660]  You may still need to add your camera shot, configure the audio source and then add any
[32:17.860 --> 32:22.500]  break or pre-roll, post-roll elements into the profile, but once everything has been
[32:22.500 --> 32:27.500]  thoroughly tested and your video and audio is being picked up through the USB dongle
[32:27.500 --> 32:32.140]  and inputting into Wirecast, go ahead and begin recording and broadcasting and then
[32:32.140 --> 32:37.420]  open the viewer to make sure that you see the stream coming through for you.
[32:37.420 --> 32:43.700]  Another way if you happen to experience some weird issues where you're not able to open
[32:43.700 --> 32:48.780]  a profile on your latest version of Wirecast, locate the application on your capture appliance
[32:48.780 --> 32:53.700]  by doing a search or adding a shortcut to your desktop.
[32:53.700 --> 32:57.980]  Open the application and once you have a blank profile open, click on the output settings
[32:57.980 --> 33:00.700]  button in the menu toolbar.
[33:00.700 --> 33:06.900]  I'm working on Wirecast 7, so if your version is older, this will be called broadcast and
[33:06.900 --> 33:10.020]  it looks like this.
[33:10.020 --> 33:13.780]  You will then be prompted to add a blah blah blah blah blah.
[33:13.780 --> 33:19.500]  You know what, if you have some detailed questions about the specifics of Wirecast, email Sam
[33:19.500 --> 33:20.500]  or myself.
[33:20.500 --> 33:26.020]  We'll set up a call with you to discuss what you can do to change your stream quality,
[33:26.020 --> 33:29.980]  make sure that your camera shots are properly composed and that you're getting the most
[33:29.980 --> 33:31.820]  out of your broadcast.
[33:31.820 --> 33:37.340]  Key things to pay attention to are, number one, set your destination RTMP output to our
[33:37.740 --> 33:39.060]  media server.
[33:39.060 --> 33:42.980]  For most of you, it's going to appear as it does on the screen right now.
[33:42.980 --> 33:47.980]  Number two, the stream name, make sure that the stream name as it appears in this field
[33:47.980 --> 33:53.700]  matches whatever it is in the video URLs for your program and the event manager and that
[33:53.700 --> 33:56.620]  there are no capitalized letters.
[33:56.620 --> 33:58.580]  Number three, encoder selection.
[33:58.580 --> 34:06.300]  Choose a default H264 preset, one that you're able to stream on your connection.
[34:06.340 --> 34:10.180]  We'll cover this a little bit more in chapter five.
[34:10.180 --> 34:13.540]  And number four, make sure that all of your camera shots have been added.
[34:13.540 --> 34:16.820]  The correct audio source has been assigned to your camera shot.
[34:16.820 --> 34:20.740]  The aspect ratio has been adjusted accordingly so that it appears the way it should.
[34:20.740 --> 34:26.180]  It's not stretched out or anything like that in your preview monitor in Wirecast.
[34:26.180 --> 34:29.540]  You're seeing audio levels in the main audio meter.
[34:29.540 --> 34:34.000]  All your break and pre-roll videos have been added and that you're not plugging and unplugging
[34:34.000 --> 34:38.680]  your video adapter into different USB ports without also editing or re-adding your camera
[34:38.680 --> 34:40.960]  shot in Wirecast.
[34:40.960 --> 34:46.760]  This could be extremely problematic in Wirecast, especially older versions that may not recognize
[34:46.760 --> 34:51.800]  your particular adapter despite using different USB ports.
[34:51.800 --> 34:56.580]  Speaking of older versions of Wirecast, suffice it to say, if you're still on Wirecast 4,
[34:56.580 --> 34:57.840]  we need to talk.
[34:57.840 --> 35:01.400]  It's outdated, it's buggy, and it's not going to get any better.
[35:01.400 --> 35:04.760]  If you've been using it for a while, it's very likely that you've experienced some of
[35:04.760 --> 35:08.080]  these issues from time to time, typically.
[35:08.080 --> 35:14.220]  This includes things like video freeze frames, audio and video sources not being recognized
[35:14.220 --> 35:20.500]  despite installing driver updates, the semi-frequent crashes, and nonspecific errors.
[35:20.500 --> 35:27.480]  This is because Telestream no longer offers updates or support for older versions of Wirecast,
[35:27.480 --> 35:31.160]  so it's becoming quickly obsolete.
[35:31.160 --> 35:35.620]  If you'd like to discuss upgrading to the latest version of Wirecast, or if you have
[35:35.620 --> 35:40.440]  another method or equipment available to you that you'd like to try out, TriCaster for
[35:40.440 --> 35:45.760]  example, reach out to Sam or myself and we'd love to explore this further with you and
[35:45.760 --> 35:51.680]  make sure that you have a device that meets the system requirements and has the appropriate
[35:51.680 --> 35:55.560]  media inputs and interface to run things without issue.
[35:55.560 --> 35:59.720]  Real quick before we move on, I just want to showcase a cool feature available in certain
[35:59.720 --> 36:05.400]  versions of Wirecast that some folks are already well aware of and are utilizing to
[36:05.400 --> 36:07.360]  great effect.
[36:07.360 --> 36:13.800]  Here's a look at not the latest version of Wirecast, this is Wirecast 8.
[36:13.800 --> 36:15.800]  The interface and features are very similar.
[36:15.800 --> 36:20.000]  If you haven't played around with some of the cool newer features, we encourage you
[36:20.000 --> 36:25.980]  to do so, otherwise this might be a whole topic unto itself for a future webinar.
[36:25.980 --> 36:29.860]  We'll just look briefly at the desktop presenter app.
[36:29.860 --> 36:35.300]  Now you can use it to integrate a live feed of presentation slides and layer it alongside
[36:35.300 --> 36:40.420]  or inside that of your camera shot, not have to deal with uploading slides to the event
[36:40.420 --> 36:42.740]  manager or anything like that.
[36:42.740 --> 36:48.620]  This takes a little preparation, but it involves installing a desktop presenter application
[36:48.620 --> 36:53.300]  on the computer that is being used to run the presentation materials, as long as the
[36:53.340 --> 36:57.740]  presentation computer and the computer running Wirecast are connected to the same network,
[36:57.740 --> 37:03.700]  you can add the desktop of the presentation computer as a shot in Wirecast.
[37:03.700 --> 37:08.340]  This will allow you to combine your camera shot and the slides being presented into a
[37:08.340 --> 37:14.700]  single stream without the need for a video switcher or multiple video inputs going into
[37:14.700 --> 37:16.020]  your broadcast device.
[37:16.020 --> 37:20.460]  Just something to keep in mind if you want to make your job a little easier, it's pretty
[37:20.460 --> 37:21.780]  cool.
[37:21.820 --> 37:27.560]  You can also take mp4 files and drop them into Wirecast if you want video clips with
[37:27.560 --> 37:29.660]  smoothness and clarity.
[37:29.660 --> 37:34.060]  You can also assign multiple audio sources to a single shot, I could go on and on for
[37:34.060 --> 37:39.060]  days about how amazing Wirecast is, but instead we'll just move on.
[37:39.060 --> 37:53.180]  This chapter of the program is basically just a quick reminder that it never hurts to be
[37:53.180 --> 37:57.780]  mindful of what you're doing or not doing during a live event.
[37:57.780 --> 38:03.140]  The hope is that once you get things rolling, you can sit back and relax and let the technology
[38:03.140 --> 38:08.740]  do what folks way smarter than me have spent millions of dollars designing it to do.
[38:08.740 --> 38:13.540]  With that in mind, working in a realm where we rely so much on technology to work, we
[38:13.540 --> 38:16.540]  are always at the mercy of technology.
[38:16.540 --> 38:22.780]  It's good to have backups and redundancies in place so that if the unpredictable occurs,
[38:22.780 --> 38:26.740]  lightning strikes, there's a power failure, or you wind up in the upside down like Will
[38:26.740 --> 38:31.860]  Byers, your recording can be salvaged even if your live event can't.
[38:31.860 --> 38:36.260]  Shit happens and someone has to deal with it, and that someone is going to be you.
[38:36.260 --> 38:40.420]  Whether you want it to be or not, you're ultimately the person everyone looks to for answers if
[38:40.420 --> 38:44.460]  some piece of technology is not functioning properly.
[38:44.460 --> 38:48.140]  Hopefully you are savvy enough to anticipate any curveballs that might get thrown your
[38:48.140 --> 38:54.940]  way, but most of this goes without saying, sometimes weird shit happens like all the
[38:54.940 --> 38:55.940]  time.
[38:55.940 --> 38:59.820]  Here's a list of things I recommend you keep in mind while webcasting based on situations
[38:59.820 --> 39:02.820]  I've found myself in over the years.
[39:02.820 --> 39:05.980]  Number one, always monitor your audio.
[39:05.980 --> 39:10.020]  Have some headphones on, connect it to your camera or laptop, listen to make sure you're
[39:10.020 --> 39:15.020]  hearing clear audio whenever someone is talking, check the audio meters on your camera's LCD
[39:15.020 --> 39:18.020]  screen, or the master audio meter in Wirecast.
[39:18.020 --> 39:22.460]  You want to be the first person to know if you're having audio issues so that you can
[39:22.460 --> 39:24.820]  act and correct them immediately.
[39:24.820 --> 39:27.940]  Number two, always monitor your video.
[39:27.940 --> 39:32.300]  Like with audio, actively monitor your video while the webcast is happening.
[39:32.300 --> 39:36.500]  Make sure that the recording is going, that the image is in focus, the lighting is not
[39:36.500 --> 39:41.060]  blown out or too bright, and that your subject is appearing within the frame.
[39:41.060 --> 39:42.420]  It happens from time to time.
[39:42.420 --> 39:46.380]  If you have a mobile presenter who paces around the front of the room and you're not tracking
[39:46.380 --> 39:50.340]  with them, the camera is locked in a static position, we can still hear the disembodied
[39:50.340 --> 39:53.740]  voice but the presenter has walked off the screen, and if you're not paying attention
[39:53.740 --> 39:58.060]  you're just going to be left with a shot of an empty chair or podium.
[39:58.060 --> 40:00.980]  Number three, always have a USB flash drive handy.
[40:00.980 --> 40:04.820]  This is great for getting revised or updated presentation materials from the speakers
[40:04.820 --> 40:07.580]  in case they don't have their own.
[40:07.580 --> 40:09.980]  Number four, always have a backup SD card.
[40:09.980 --> 40:15.660]  I recommend recording to SD cards if you have the capability to do so, and it is always
[40:15.660 --> 40:22.100]  a good idea to have a 32 or 64 gigabyte card that has already been formatted for your camera
[40:22.100 --> 40:24.180]  ready to go in case you need to utilize it.
[40:24.180 --> 40:30.100]  Like I said, these are cheap, pick up a few, they're like 10 to 25 bucks, and they will
[40:30.380 --> 40:32.060]  save your life.
[40:32.060 --> 40:35.260]  Number five, test your equipment beforehand.
[40:35.260 --> 40:40.220]  Test the camera, mics, internet speed, your broadcast, slides, your internet speed, video
[40:40.220 --> 40:43.500]  clips, and oh yeah, your internet speed.
[40:43.500 --> 40:47.420]  Do a full setup at the location you will be broadcasting from, at least a day before your
[40:47.420 --> 40:49.500]  scheduled event if possible.
[40:49.500 --> 40:52.140]  Make sure everything is good to go and that you're not going to walk in the morning of
[40:52.140 --> 40:56.780]  your webcast and find that your video adapter is not working all of a sudden, oh yeah, and
[40:56.780 --> 41:00.380]  have a backup video and audio adapter while you're at it.
[41:00.380 --> 41:03.420]  Number six, expect the unexpected.
[41:03.420 --> 41:06.300]  Sounds cliche, and it is, for a damn good reason.
[41:06.300 --> 41:10.900]  I'm sure most of you are familiar with the concept of force majeure, or perhaps even
[41:10.900 --> 41:13.300]  Murphy's law.
[41:13.300 --> 41:15.260]  So you know that strange things happen.
[41:15.260 --> 41:19.580]  You lock down your camera, but mysteriously, it moved.
[41:19.580 --> 41:23.780]  You lost your video and audio feed and wire cast, and you swear you didn't bump the cable,
[41:23.780 --> 41:24.780]  it moved on its own.
[41:25.780 --> 41:30.260]  You thought you put down your coffee cup right here, and now it's over there.
[41:30.260 --> 41:31.260]  It moved.
[41:31.260 --> 41:36.260]  Point is, this could be a lot to keep track of, so develop a consistent system and you'll
[41:36.260 --> 41:37.260]  be fine.
[41:49.780 --> 41:51.540]  This chapter is a bit of an overview.
[41:51.540 --> 41:54.180]  Again, thank you all for sticking with us so far.
[41:54.180 --> 41:57.540]  We hope this has been informative and worthwhile.
[41:57.540 --> 42:01.860]  We're nerds, so we thank you for humoring us and allowing us to indulge in our nerd
[42:01.860 --> 42:03.340]  interests.
[42:03.340 --> 42:08.220]  I touched on this very briefly, but here again are the minimum and recommended system requirements
[42:08.220 --> 42:13.820]  for running Wirecast on both Macs and PCs, and here's a full list of equipment we use
[42:13.820 --> 42:15.980]  for webcasting.
[42:15.980 --> 42:21.300]  As for internet requirements, you'll want to preferably be on a wired connection with
[42:21.300 --> 42:26.980]  static IP as opposed to a dynamic IP, if possible, and have a dedicated amount of
[42:26.980 --> 42:33.140]  bandwidth that you're not having to share with everyone else at your conference or office.
[42:33.140 --> 42:39.660]  On a dedicated line, if you have 10 megabits per second, you'll always have at least that,
[42:39.660 --> 42:44.660]  whereas on a shared connection, that 10 megabits per second gets split up among all users and
[42:44.660 --> 42:46.300]  devices.
[42:46.300 --> 42:51.300]  If you're unsure about what you have, you can contact your IT manager or internet service
[42:51.300 --> 42:55.820]  provider and have them help you if you're running into issues of not having a consistent
[42:55.820 --> 43:01.660]  upload speed, or you can contact us and we can help you to troubleshoot.
[43:01.660 --> 43:07.340]  You'll also want to make sure that ports 1935 and 80 are unblocked on your firewall, as
[43:07.340 --> 43:14.100]  those allow RTMP protocols to send and receive data from your broadcasting laptop to our
[43:14.100 --> 43:15.780]  media server.
[43:15.780 --> 43:20.140]  If you ever get an error while broadcasting that says something to the effect of RTMP
[43:20.140 --> 43:24.660]  destination cannot be found, it's very likely that a port has been blocked, or the wrong
[43:24.660 --> 43:30.500]  address has been entered in your output destination, or there's a dip in your connectivity and
[43:30.500 --> 43:33.540]  the link to our server needs to be reestablished.
[43:33.540 --> 43:38.820]  With that, we'd also like to explain a rule of thumb when it comes to upload speed and
[43:38.820 --> 43:52.060]  broadcast settings.
[43:52.060 --> 43:53.060]  So here it is.
[43:53.060 --> 43:56.540]  I'll try to put this in the simplest, most basic terms that I can.
[43:56.540 --> 44:00.820]  Your upload speed is going to directly affect the quality of the broadcast you're able to
[44:00.820 --> 44:02.660]  stream out.
[44:02.660 --> 44:08.300]  If you go into the output settings in Wirecast and you set the encoding quality to 720p with
[44:08.300 --> 44:15.740]  a video bitrate of 2 megabits per second, you are streaming out at 2 megabits per second,
[44:15.740 --> 44:20.260]  and you would better have at least 2 megabits per second as your upload speed.
[44:20.260 --> 44:24.180]  We suggest raising that threshold and giving yourself a higher ceiling, though, when it
[44:24.180 --> 44:29.540]  comes to your upload speed and your output quality, since they are directly proportional.
[44:29.540 --> 44:34.180]  If you're streaming out at 2 megabits per second, it's best to be on a connection with
[44:35.020 --> 44:41.580]  5 to 10 times that amount of upload speed, so about 10 to 20 megabits per second.
[44:41.580 --> 44:47.700]  If you only have a dedicated amount of 5 megabits per second upload speed, maybe drop your encoding
[44:47.700 --> 44:51.020]  quality to 1 megabit per second.
[44:51.020 --> 44:56.520]  Finding a happy medium is key, where you can stream a quality broadcast without having
[44:56.520 --> 45:01.340]  to run into issues of latency, lag, and lost connections.
[45:01.340 --> 45:07.180]  Don't be confused with missed connections, something different entirely.
[45:07.180 --> 45:11.260]  Keep in mind that what you're pushing out is also affecting what your audience is pulling
[45:11.260 --> 45:12.780]  down.
[45:12.780 --> 45:16.820]  If they're on a connection that gives them at least 2 megabits per second down, they
[45:16.820 --> 45:18.580]  should be fine.
[45:18.580 --> 45:22.660]  Here are some other suggestions made by popular media streaming providers.
[45:22.660 --> 45:28.460]  They recommend about an average of 4 megabits per second down for standard definition videos
[45:28.460 --> 45:30.460]  at 720p.
[45:30.460 --> 45:34.040]  For higher definition, that number goes up.
[45:34.040 --> 45:39.300]  Most of these providers also use performance-enhancing techniques when slower speeds are encountered.
[45:39.300 --> 45:45.060]  Some have added local caching of videos around the US in order to compensate for this issue.
[45:45.060 --> 45:48.820]  Adaptive bitrate streaming is another feature that tempers the quality of the stream being
[45:48.820 --> 45:53.020]  delivered to your device based on your download speed.
[45:53.020 --> 45:57.340]  So if you're trying to stream a video in high definition, you're connected to public Wi-Fi
[45:57.660 --> 46:04.180]  or using your wireless provider's 3G bandwidth for data, and it's just not happening, adaptive
[46:04.180 --> 46:09.780]  bitrate will drop you down to a standard or a lower quality stream to reduce the amount
[46:09.780 --> 46:11.340]  of buffering.
[46:11.340 --> 46:15.620]  InReach is in the process of migrating our Learning Center viewer to a platform that
[46:15.620 --> 46:20.900]  offers this as a standard feature, so be aware that this will be an improvement for you and
[46:20.900 --> 46:22.780]  your learners in 2019.
[46:27.340 --> 46:38.740]  Hopefully by now, you're coming away from this webinar not feeling too overwhelmed,
[46:38.740 --> 46:43.580]  but perhaps a little bit wiser when it comes to running your webcast without issue.
[46:43.580 --> 46:49.020]  Your worries have no doubt vanished, and as we hoped to set out to do, you know what to
[46:49.020 --> 46:50.940]  do if shit hits the fan.
[46:50.940 --> 46:55.900]  We ran down the requiem of requirements and filled you in on what's up with the upload
[46:56.140 --> 47:01.260]  and download of internet connection speeds, but no matter how many webcasts you run and
[47:01.260 --> 47:05.980]  no matter how often you run them, it's always best to be prepared no matter what circumstances
[47:05.980 --> 47:11.140]  you may find yourself in, whether it's your office, some hotel, or who knows, the upside
[47:11.140 --> 47:15.940]  down where shit gets real weird and nothing is normal.
[47:15.940 --> 47:20.060]  You can rest assured that InReach has your back, and if you ever run into a problem that
[47:20.060 --> 47:25.880]  you cannot solve on your own, do some research or please contact us and we'll do everything
[47:25.880 --> 47:30.120]  we can to slay the beasts and monsters and shit.
[47:30.120 --> 47:33.120]  Until next time, this is Kevin and Sam signing off.
[47:33.120 --> 47:34.120]  Peace.
[47:34.120 --> 47:38.960]  Oh, and if you have any questions, please feel free to direct them towards my co-presenter
[47:38.960 --> 47:39.960]  Sam.
[47:39.960 --> 47:40.960]  Now.
[47:40.960 --> 47:41.840]  Thank you.
